code,location,city,country,lat,lon
gpab,Geraldton,杰拉尔顿,Australia,-28.7631,114.5647
hill,HillarysHarbor,希拉瑞斯码头,Australia,-31.8255,115.7386
espe,Esperance,埃斯佩兰斯港,Australia,-33.8709,121.8954
thev,Thevenard,泰弗纳德,Australia,-32.1489,133.6413
porl,Portland,波特兰港,Australia,-38.3434,141.6132
barn,BurnieTasmania,伯尼港,Australia,-41.0501,145.915
sprg,SpringBay,春天湾,Australia,-42.5459,147.9327
bapj,BatteryPoint,炮台岬,Australia,-42.8923,147.338
spjy,SouthportJetty,绍斯波特栈桥,Australia,-43.4333,146.9748
tbwc,TwofoldBay,澳洲二倍湾,Australia,-37.1003,149.9266
pkem,PortKembla,肯布拉港,Australia,-34.4738,150.9119
gcsb,GoldCoastSandBypass Jetty,黄金海岸,Australia,-27.9387,153.4326
ross,RosslynBay,罗斯林湾,Australia,-23.161,150.7902
ferg,CapeFerguson,弗格森角,Australia,-19.2773,147.0584
lirf,LihouReef,利胡环礁,Australia,-17.133,152.145
trst,Torres_Strait,托雷斯海峡,Australia,-10.5865,142.2219
groo,Groote Eylandt,格鲁特岛,Australia,-13.86,136.4158
lomb,Lombrum_Manus_Is_PG,马努斯岛,PapuaNewGuinea,-2.0421,147.3737
tare,Tarekukure_Wharf,所罗门群岛码头,SolomonIslands,-6.6928,156.4086
solo/honb,Honiara,霍尼亚拉港,SolomonIslands,-9.4289,159.9555
lata,Lata_Wharf_SB,拉塔码头,SolomonIslands,-10.7208,165.8019
luga,Luganville,卢干维尔,Vanuatu,-15.5156,167.1886
litz,"Litzlitz, Malekula",丽思,Vanuatu,-16.11283,167.44397
vanu,Malakula,马拉库拉岛,Vanuatu,-17.7553,168.3077
lena,"Lenakel, Tanna",伦纳克尔,Vanuatu,-19.53256,169.265953
hien,Hienghene (New Caledonia),延根,France,-20.69283333,164.9421667
thio,Thio,硫代,France,-21.613805,166.241528
ouin,OuinneNew Caledonia,新咯里多尼亚,France,-21.9828778,166.6832765
numbo,NouméaNumbo (New Caledonia),努美阿,France,-22.2466,166.4116
ouve,Ouvea,乌韦阿岛,France,-20.549816,166.561867
lifo,Lifou,利富岛,France,-20.91847222,167.2786944
vati,"Vatia, Viti Levu",维提岛,FijiIslands,-17.3978066,177.7611542
levu,Lautoka,劳托卡港,FijiIslands,-17.6049,177.4383
viti,Suva_Viti_Levu_FJ,苏瓦,FijiIslands,-18.1342,178.4236
upol,Apia_Upolu_WS,阿皮亚,IndependentStateofWesternSamoa,-13.8268,-171.7613
pago,Pago_Pago_AS,帕果帕果,USASamoa,-14.2766,-170.6907
